"Name","04/04","05/04","06/04","07/04","08/04","09/04","10/04","11/04","12/04","13/04"
"Ravensthorpe Dam #4 (RA002)","12.4","12.6","13.8","17.2","19.2","14.1","10.8","12.9","17.8","13.4"
"Regans Ford (RF001)","21.3","16.4","13.9","13.5","12.8","12.6","10","13.9","13.7","12"
"Ridley North (LR001)","13.6","14","14.8","19.6","18","16.8","11.3","12.4","14","17.4"
"Rosa Brook (RB001)","13.7","13.3","13.9","13.8","15.8","13.3","9.9","9.9","15.9","15"
"Salmon Gums (SG)","13.8","13.7","13.9","17.4","17.6","15.9","9.7","12.9","13.5","17.5"
"Salmon Gums Quarry Dam (SG003)","13.9","13.7","13.9","17.7","17","16.2","11.8","13.4","16.1","17.8"
"Scaddan (SC)","13.1","14","15.2","18.2","18.2","16.3","11.4","12.6","14.8","17.6"
"Scott River (SR001)","14.5","14.2","15.3","14.9","16.7","14.6","11.6","9.2","17.1","15.8"
"Shackleton (SH001)","16.8","14","14.2","17.8","15.5","16.9","12.4","12.4","18.2","18.8"
"South Perth (SP)","19.9","18.4","17.7","16.8","18.4","18.2","14.4","17.6","19.3","19.7"
"Stirlings North (SN001)","14","13.8","14.5","14.5","15.7","14","8.8","12.5","15.7","16.8"
"Stirlings South (PL001)","14.5","14.2","14.8","17.5","14.9","15.4","10.9","11.4","14.8","16.2"
"Tammin (TA001)","18.8","14.5","14.8","16.8","15.3","18","12.3","16.9","21.8","18.6"
"Three Springs (TS001)","21","18.1","15.7","17.4","14.5","16","13.1","18.1","16.6","16.8"
"Tincurrin (WI)","13.4","13.6","15.3","16.3","14.9","15.8","8.8","14","16.8","17.3"
"Tone Bridge (TB001)","13.7","13.6","14.6","15.4","17.5","12.2","7.6","11.2","14.9","15"
"Trayning West (TW001)","18.1","14.8","14.6","16.9","15.3","15.9","12.8","13.4","20.8","17.7"
"Tunney West (TU003)","13.8","13.1","14.1","16.4","17.1","13","9.7","12.9","16.5","15.7"
"Vasse (VA)","14.5","14.4","14.8","14.6","14.8","16.2","9.8","11.8","17.4","16.5"
"Wagin (WA001)","14.2","14.2","15.9","16.2","16.6","16","9.5","13.6","17.6","17.5"
"Wanneroo (WN)","20.9","18.8","13.9","12.7","14.4","18.9","10","13.5","19.1","15.2"
"Waroona (WR)","18","17.5","19.8","14.7","16.6","13.1","10.9","16.5","17.6","19.1"
"Warradarge East (ML001)","22.4","17.9","15.6","17.3","16","16.2","14.8","17.5","17.2","15.8"
"Watheroo (WO001)","22.5","17","14.6","17.1","16.1","16.5","12.8","19.4","17.6","16.7"
"Wattleup (WT001)","18.3","17.8","16.4","14.1","14.7","16.2","13.3","15.1","16.6","16.4"
"Wellstead (WE)","14.2","13.8","14","17","16.4","13.4","8.9","12.4","18.2","16.5"
"West River (WR001)","13","13.4","14.7","17.7","16.2","15","10.5","13.4","20.2","17.4"
"Westonia (WS001)","19.3","15.2","15.8","16.5","13.9","14.5","11.5","16.1","21.1","17.6"
"Wickepin East (EW)","14","13.9","15.1","16.6","16.1","16.4","11.5","13.8","19.1","17.5"
"Wickepin North (WI002)","13.9","13.9","15.6","16.3","13.3","14.8","10.6","10.8","16.3","17.6"
"Williams (WL001)","13.4","13.5","14.7","16.6","17.4","16.3","10.8","13.8","16.6","16.6"
"Wilyabrup (MR001)","14.2","14","14.8","15.2","16.9","13","12.5","13.6","16.9","16.1"
"Wongan Hills (WH)","17.7","15","14.2","16.7","14.5","14.4","12.9","16.4","19.5","18.1"
"Wongoondy (TW002)","19","16.3","15.3","15.8","12.1","13.7","13.9","21.5","15.4","16"
"Woodanilling (WD001)","14.1","14.2","15.6","15.1","15.8","15.3","8.4","13.6","16.4","15.9"
"Yanmah (MA003)","13.1","13.1","13.8","15.5","15.9","14","10.9","13.3","16.2","14.5"
"Yilgarn (YS)","16.4","13.1","14.6","17.8","16.3","16.4","11.8","13.6","18.1","17.4"
"York East (YE001)","16.5","14.6","15.6","15.4","14.9","18.7","13.6","14.3","18.8","17.7"
"Yuna (YU001)","20.7","18.9","16.8","16.2","15.3","16.6","12.7","16.7","18.1","16.2"
"Yuna NE (YU002)","19.1","18","13.8","17","13.7","15.1","13.9","17.1","19.2","18.4"
"Yuna North (YU003)","19.3","17.2","14.3","14.4","12.8","14.9","12.4","12.7","19.4","14.8"
