Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
TF5,-30.28295139,149.8350821,0.05,0,10,139.2502291,3.936346054,231.2331543,0.142999098,0.197735459,0.616233528,52.66699219,15.39339256,26.24511719,NIR,7.97,48,,,,,,,,,,
TF5,-30.28295139,149.8350821,0.45,40,50,139.2502291,3.936346054,231.2331543,0.142999098,0.197735459,0.616233528,52.52467346,19.71234322,21.6615715,NIR,8.86,154,,,,,,,,,,
TG2,-30.26859035,149.850257,0.05,0,10,171.7013399,3.948866367,242.0730286,0.138343841,0.189357996,0.659647405,55.14547348,22.0354538,25.61708641,NIR,8.75,134,,,,,,,,,,
TG2,-30.26859035,149.850257,0.45,40,50,171.7013399,3.948866367,242.0730286,0.138343841,0.189357996,0.659647405,55.91579056,18.32121658,27.4317131,NIR,9.33,276,,,,,,,,,,
TG3,-30.26664066,149.847953,0.05,0,10,136.2271578,3.941590548,241.4296265,0.127319068,0.179982975,0.597730219,47.20980453,14.73753166,40.9803772,NIR,8.29,72,,,,,,,,,,
TG3,-30.26664066,149.847953,0.45,40,50,136.2271578,3.941590548,241.4296265,0.127319068,0.179982975,0.597730219,44.63750076,16.59247208,41.95372772,NIR,9.86,203,,,,,,,,,,
TG4,-30.26112865,149.8533029,0.05,0,10,153.8799165,4.174965858,244.5033112,0.138632491,0.192964777,0.662332296,48.41954803,21.1886425,29.40270996,NIR,8.5,137,,,,,,,,,,
TG4,-30.26112865,149.8533029,0.45,40,50,153.8799165,4.174965858,244.5033112,0.138632491,0.192964777,0.662332296,52.20272446,19.5556488,25.77846718,NIR,9.34,281,,,,,,,,,,
TH3,-30.28020843,149.8403,0.05,0,10,158.9029729,3.426279306,233.0846558,0.134602785,0.181558013,0.53850764,56.37738419,10.2671175,36.50207138,NIR,7.07,162,,,,,,,,,,
TH3,-30.28020843,149.8403,0.45,40,50,158.9029729,3.426279306,233.0846558,0.134602785,0.181558013,0.53850764,56.00499344,14.46519661,37.52383041,NIR,9.47,254,,,,,,,,,,
TH4,-30.28374106,149.836151,0.05,0,10,134.3322168,3.843862772,231.7084808,0.142706439,0.189127401,0.629429162,49.84137344,9.299414635,45.46477509,NIR,7.7,69,,,,,,,,,,
TH4,-30.28374106,149.836151,0.45,40,50,134.3322168,3.843862772,231.7084808,0.142706439,0.189127401,0.629429162,55.19387054,12.10010052,38.76690674,NIR,9.13,259,,,,,,,,,,
TH5,-30.28599557,149.832022,0.05,0,10,155.5221292,3.528542995,229.8694916,0.14198187,0.197379157,0.593103468,53.14899445,15.45401478,30.12372017,NIR,7.13,73,,,,,,,,,,
TH5,-30.28599557,149.832022,0.45,40,50,155.5221292,3.528542995,229.8694916,0.14198187,0.197379157,0.593103468,62.26001358,15.63879013,22.62751389,NIR,8.98,191,,,,,,,,,,
TI3,-30.26847467,149.849454,0.05,0,10,156.8087108,3.893297434,241.3511658,0.139024884,0.181742281,0.689603984,57.11131668,22.20452881,22.42995644,NIR,7.65,80,,,,,,,,,,
TI3,-30.26847467,149.849454,0.45,40,50,156.8087108,3.893297434,241.3511658,0.139024884,0.181742281,0.689603984,59.35808945,19.35117722,25.03448868,NIR,8.47,335,,,,,,,,,,
TI4,-30.26635276,149.8474619,0.05,0,10,155.2077037,4.154013157,240.8848114,0.122338228,0.178316906,0.57361424,49.89217377,20.68673897,35.26115799,NIR,8.16,89,,,,,,,,,,
TI4,-30.26635276,149.8474619,0.45,40,50,155.2077037,4.154013157,240.8848114,0.122338228,0.178316906,0.57361424,59.21923447,15.6789217,21.76608467,NIR,9.06,313,,,,,,,,,,
TJ3,-30.27082904,149.846995,0.05,0,10,162.0496644,3.486711025,239.5733032,0.138887316,0.187776968,0.631317616,56.78917694,17.38711739,23.95684624,NIR,8.5,34,,,,,,,,,,
TJ3,-30.27082904,149.846995,0.45,40,50,162.0496644,3.486711025,239.5733032,0.138887316,0.187776968,0.631317616,53.11027145,17.97015762,35.33212662,NIR,9.65,491,,,,,,,,,,
TJ4,-30.27192165,149.843965,0.05,0,10,145.1696421,4.215995312,237.1867371,0.14698498,0.202959165,0.696471274,55.57733154,24.91674614,22.19097328,NIR,8.72,140,,,,,,,,,,
TJ4,-30.27192165,149.843965,0.45,40,50,145.1696421,4.215995312,237.1867371,0.14698498,0.202959165,0.696471274,55.77714157,19.41701698,21.88772583,NIR,8.76,196,,,,,,,,,,
TL3,-30.26557436,149.8547091,0.05,0,10,150.7225328,4.241969109,244.920105,0.143647164,0.193490833,0.673252404,48.9534111,18.73045731,36.44338226,NIR,7.86,64,,,,,,,,,,
TL3,-30.26557436,149.8547091,0.45,40,50,150.7225328,4.241969109,244.920105,0.143647164,0.193490833,0.673252404,52.58261108,18.04871178,33.03674698,NIR,9.03,203,,,,,,,,,,
TL4,-30.26244931,149.8488791,0.05,0,10,158.1035948,4.367148399,241.9009247,0.150235683,0.204880565,0.694195867,45.42604065,18.42719269,37.18434143,NIR,7.94,87,,,,,,,,,,
TL4,-30.26244931,149.8488791,0.45,40,50,158.1035948,4.367148399,241.9009247,0.150235683,0.204880565,0.694195867,56.67177582,13.38038731,24.88873482,NIR,9.03,251,,,,,,,,,,
TN2,-30.26309167,149.862805,0.05,0,10,130.9747823,3.860791683,248.6786652,0.123651966,0.173017234,0.600000024,52.50030136,19.0969429,27.11008263,NIR,8.55,84,,,,,,,,,,
TN2,-30.26309167,149.862805,0.45,40,50,130.9747823,3.860791683,248.6786652,0.123651966,0.173017234,0.600000024,54.74715042,19.59758759,28.5222702,NIR,9.17,272,,,,,,,,,,
TO1,-30.26128415,149.861515,0.05,0,10,152.8997829,3.98052597,246.6923828,0.135268912,0.185658917,0.619638324,58.93321609,15.33956242,29.15411758,NIR,8.54,103,,,,,,,,,,
TO1,-30.26128415,149.861515,0.45,40,50,152.8997829,3.98052597,246.6923828,0.135268912,0.185658917,0.619638324,59.24835587,18.6999588,30.64231873,NIR,8.21,313,,,,,,,,,,
TO2,-30.26011228,149.865102,0.05,0,10,161.0995475,3.936181068,249.1132507,0.131467506,0.173112169,0.611611187,50.36365509,18.06745529,36.39511871,NIR,8.7,79,,,,,,,,,,
TO2,-30.26011228,149.865102,0.45,40,50,161.0995475,3.936181068,249.1132507,0.131467506,0.173112169,0.611611187,61.46195602,15.36550903,23.92511559,NIR,9.07,251,,,,,,,,,,
TO3,-30.25887314,149.871984,0.05,0,10,160.6905598,4.289360046,252.7636719,0.127309993,0.18199487,0.607713699,54.15779114,16.17247391,31.60022545,NIR,8.39,155,,,,,,,,,,
TO3,-30.25887314,149.871984,0.45,40,50,160.6905598,4.289360046,252.7636719,0.127309993,0.18199487,0.607713699,58.39842224,15.70289421,27.94958305,NIR,9.21,200,,,,,,,,,,
TP3,-30.26191823,149.866164,0.05,0,10,162.614611,4.362043858,251.2471619,0.122928835,0.177855656,0.605633795,56.41562271,14.99854279,22.8021698,NIR,8.6,104,,,,,,,,,,
TP3,-30.26191823,149.866164,0.45,40,50,162.614611,4.362043858,251.2471619,0.122928835,0.177855656,0.605633795,62.43629456,16.46045303,14.56290722,NIR,9.11,282,,,,,,,,,,
TP4,-30.25829193,149.867224,0.05,0,10,159.6653358,4.057976723,248.5214996,0.138829187,0.208883971,0.567828774,59.09667969,13.5868187,27.92500687,NIR,8.8,78,,,,,,,,,,
TP4,-30.25829193,149.867224,0.45,40,50,159.6653358,4.057976723,248.5214996,0.138829187,0.208883971,0.567828774,65.56543732,16.81805801,18.61771584,NIR,9.4,174,,,,,,,,,,
